"id"	"url"	"name"	"species"	"revision"	"authors"	"last"	"communities"	"ontologies"
"WP530"	"https://www.wikipathways.org/index.php/Pathway:WP530"	"Cytokines and inflammatory response"	"Homo sapiens"	"117693"	"S.Burel, MaintBot, AlexanderPico, Thomas, FerryJagers, Jack007, Egonw, Ryanmiller, Khanspers, Wpblocked, Eweitz"	2021-05-22	""	"- id: PW:0000023|,|  value: immune response pathway|,|  type: Pathway Ontology|;|- id: PW:0000024|,|  value: inflammatory response pathway|,|  type: Pathway Ontology"
"WP466"	"https://www.wikipathways.org/index.php/Pathway:WP466"	"DNA replication"	"Homo sapiens"	"117096"	"Kdahlquist, MaintBot, Khanspers, Thomas, D.Koren, Zari, Mkutmon, AlexanderPico, Egonw, DeSl, Eweitz"	2021-05-17	""	"- id: PW:0000098|,|  value: DNA replication pathway|,|  type: Pathway Ontology|;|- id: PW:0000098|,|  value: DNA replication pathway|,|  type: Pathway Ontology"
"WP61"	"https://www.wikipathways.org/index.php/Pathway:WP61"	"Notch signaling pathway (Netpath)"	"Homo sapiens"	"117806"	"A.Pandey, MaintBot, Khanspers, NetPath, DeSl, L Dupuis, Egonw, Eweitz"	2021-05-22	"CIRM_Related"	"- id: PW:0000204|,|  value: Notch signaling pathway|,|  type: Pathway Ontology"
"WP437"	"https://www.wikipathways.org/index.php/Pathway:WP437"	"EGF/EGFR signaling pathway"	"Homo sapiens"	"118995"	"A.Pandey, MaintBot, Nsalomonis, Michiel, AlexanderPico, Khanspers, NetPath, Christine Chichester, Zari, L Dupuis, Egonw, Eweitz, Finterly"	2021-06-08	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: PW:0000170|,|  value: epidermal growth factor/neuregulin signaling pathway|,|  type: Pathway Ontology"
"WP167"	"https://www.wikipathways.org/index.php/Pathway:WP167"	"Eicosanoid synthesis"	"Homo sapiens"	"117707"	"A.Kwa, MaintBot, Khanspers, Thomas, Carlospirola, AlexanderPico, Christine Chichester, Mkutmon, Egonw, DeSl, Eweitz"	2021-05-22	"Lipids"	"- id: PW:0000024|,|  value: inflammatory response pathway|,|  type: Pathway Ontology|;|- id: CL:0000066|,|  value: epithelial cell|,|  type: Cell Type|;|- id: PW:0001239 |,|  value: eicosanoid biosynthetic pathway|,|  type: Pathway Ontology"
"WP111"	"https://www.wikipathways.org/index.php/Pathway:WP111"	"Electron transport chain: OXPHOS system in mitochondria"	"Homo sapiens"	"117097"	"Kdahlquist, MaintBot, AlexanderPico, Khanspers, FerryJagers, Christine Chichester, Egonw, Mkutmon, DeSl, Wpblocked, Eweitz"	2021-05-17	""	"- id: PW:0000034|,|  value: electron transport chain pathway|,|  type: Pathway Ontology|;|- id: PW:0000002|,|  value: classic metabolic pathway|,|  type: Pathway Ontology"
"WP314"	"https://www.wikipathways.org/index.php/Pathway:WP314"	"Fas ligand pathway and stress induction of heat shock proteins"	"Homo sapiens"	"116694"	"169.230.77.174, MaintBot, Khanspers, Thomas, Bassetfrog, Jildau, AlexanderPico, Christine Chichester, Zari, MirellaKalafati, L Dupuis, Eweitz"	2021-05-09	""	"- id: PW:0000009|,|  value: apoptotic cell death pathway|,|  type: Pathway Ontology|;|- id: PW:0000009|,|  value: programmed cell death pathway|,|  type: Pathway Ontology|;|- id: PW:0000237|,|  value: stress response pathway|,|  type: Pathway Ontology|;|- id: PW:0000681|,|  value: FasL mediated signaling pathway|,|  type: Pathway Ontology"
"WP206"	"https://www.wikipathways.org/index.php/Pathway:WP206"	"Fatty acid omega-oxidation"	"Homo sapiens"	"117723"	"Evelo, MaintBot, Michiel, AlexanderPico, Christine Chichester, Egonw, DeSl, Khanspers, Eweitz"	2021-05-22	""	"- id: PW:0000642|,|  value: fatty acid degradation pathway|,|  type: Pathway Ontology|;|- id: PW:0000058|,|  value: fatty acid metabolic pathway|,|  type: Pathway Ontology|;|- id: DOID:3146|,|  value: fatty acid metabolism|,|  type: Disease|;|- id: PW:0001253|,|  value: fatty acid omega degradation pathway|,|  type: Pathway Ontology"
"WP357"	"https://www.wikipathways.org/index.php/Pathway:WP357"	"Fatty acid biosynthesis"	"Homo sapiens"	"117722"	"Kdahlquist, MaintBot, Michiel, AlexanderPico, Evelo, Bassetfrog, Jildau, MartijnVanIersel, Egonw, Mkutmon, Fehrhart, Khanspers, DeSl, Eweitz"	2021-05-22	""	"- id: PW:0000029|,|  value: fatty acid biosynthetic pathway|,|  type: Pathway Ontology"
"WP306"	"https://www.wikipathways.org/index.php/Pathway:WP306"	"Focal adhesion"	"Homo sapiens"	"116784"	"169.230.77.174, MaintBot, Thomas, Khanspers, AlexanderPico, Egonw, Zari, Dtruong, MirellaKalafati, Ariutta, Eweitz"	2021-05-14	""	"- id: PW:0000648|,|  value: cell adhesion signaling pathway|,|  type: Pathway Ontology"
"WP524"	"https://www.wikipathways.org/index.php/Pathway:WP524"	"G13 signaling pathway"	"Homo sapiens"	"117113"	"A.Chow, MaintBot, Kushidat, Khanspers, Thomas, AlexanderPico, Mkutmon, Egonw, Eweitz"	2021-05-17	""	"- id: PW:0000230|,|  value: G protein mediated signaling pathway via Galpha12/Galpha13 family|,|  type: Pathway Ontology|;|- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology"
"WP455"	"https://www.wikipathways.org/index.php/Pathway:WP455"	"GPCRs, class A rhodopsin-like"	"Homo sapiens"	"117740"	"Nsalomonis, MaintBot, AlexanderPico, BruceConklin, Khanspers, Egonw, Zari, Eweitz"	2021-05-22	""	"- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology"
"WP334"	"https://www.wikipathways.org/index.php/Pathway:WP334"	"GPCRs, class B secretin-like"	"Homo sapiens"	"117741"	"Nsalomonis, MaintBot, AlexanderPico, BruceConklin, Khanspers, Egonw, Eweitz"	2021-05-22	""	"- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology"
"WP501"	"https://www.wikipathways.org/index.php/Pathway:WP501"	"GPCRs, class C metabotropic glutamate, pheromone"	"Homo sapiens"	"117742"	"Nsalomonis, MaintBot, AlexanderPico, BruceConklin, Khanspers, Egonw, Eweitz"	2021-05-22	""	"- id: PW:0000455|,|  value: Excitatory synaptic transmission pathway|,|  type: Pathway Ontology|;|- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology"
"WP117"	"https://www.wikipathways.org/index.php/Pathway:WP117"	"GPCRs, other"	"Homo sapiens"	"117743"	"Nsalomonis, MaintBot, BruceConklin, Khanspers, AlexanderPico, Egonw, Zari, Mkutmon, Eweitz"	2021-05-22	""	"- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology"
"WP35"	"https://www.wikipathways.org/index.php/Pathway:WP35"	"G protein signaling pathways"	"Homo sapiens"	"117729"	"Nsalomonis, MaintBot, AlexanderPico, BruceConklin, C.Redfern, Thomas, Samuel Sklar, Zari, Mkutmon, Khanspers, Eweitz"	2021-05-22	""	"- id: PW:0000125|,|  value: G protein mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000230|,|  value: G protein mediated signaling pathway via Galpha12/Galpha13 family|,|  type: Pathway Ontology|;|- id: PW:0000228|,|  value: G protein mediated signaling pathway via Galphai family|,|  type: Pathway Ontology|;|- id: PW:0000229|,|  value: G protein mediated signaling pathway via Galphaq family|,|  type: Pathway Ontology"
"WP500"	"https://www.wikipathways.org/index.php/Pathway:WP500"	"Glycogen synthesis and degradation"	"Homo sapiens"	"119104"	"Kdahlquist, MaintBot, Khanspers, Andra, Susan, AlexanderPico, HarmNijveen, Mkutmon, DeSl, Jessev1993, Fehrhart, Egonw, Eweitz, Finterly"	2021-06-17	""	"- id: PW:0000533|,|  value: glycogen metabolic pathway|,|  type: Pathway Ontology|;|- id: PW:0000534|,|  value: glycogen degradation pathway|,|  type: Pathway Ontology"
"WP534"	"https://www.wikipathways.org/index.php/Pathway:WP534"	"Glycolysis and gluconeogenesis"	"Homo sapiens"	"117147"	"Kdahlquist, MaintBot, Susan, N.Fidelman, MartijnVanIersel, Khanspers, Thomas, Jildau, AlexanderPico, Egonw, Mkutmon, The Herald, MirkoBaranzini, DeSl, MarkAHershberger, Ambar21, Eweitz"	2021-05-18	""	"- id: PW:0000640|,|  value: glycolysis pathway|,|  type: Pathway Ontology|;|- id: PW:0000641|,|  value: gluconeogenesis pathway|,|  type: Pathway Ontology|;|- id: PW:0000025|,|  value: glycolysis/gluconeogenesis pathway|,|  type: Pathway Ontology|;|- id: PW:0000026|,|  value: citric acid cycle pathway|,|  type: Pathway Ontology"
"WP384"	"https://www.wikipathways.org/index.php/Pathway:WP384"	"Apoptosis modulation by HSP70"	"Homo sapiens"	"117650"	"I.Reyes, MaintBot, Khanspers, PaoloRomano, Jildau, AlexanderPico, Christine Chichester, Lorasimons, Egonw, Eweitz"	2021-05-22	""	"- id: PW:0000009|,|  value: apoptotic cell death pathway|,|  type: Pathway Ontology"
"WP47"	"https://www.wikipathways.org/index.php/Pathway:WP47"	"Hedgehog signaling pathway Netpath"	"Homo sapiens"	"117750"	"A.Pandey, MaintBot, Andra, Khanspers, Mkutmon, AlexanderPico, NetPath, DeSl, L Dupuis, Egonw, Eweitz"	2021-05-22	"CIRM_Related"	"- id: PW:0000122|,|  value: Hedgehog signaling pathway|,|  type: Pathway Ontology"
"WP561"	"https://www.wikipathways.org/index.php/Pathway:WP561"	"Heme biosynthesis"	"Homo sapiens"	"117151"	"Kdahlquist, MaintBot, Khanspers, Mills42, Andra, AlexanderPico, Egonw, Mkutmon, DeSl, Eweitz"	2021-05-18	""	"- id: PW:0000218|,|  value: heme biosynthetic pathway|,|  type: Pathway Ontology|;|- id: CL:0002092|,|  value: bone marrow cell|,|  type: Cell Type|;|- id: CL:0000988|,|  value: hematopoietic cell|,|  type: Cell Type"
"WP195"	"https://www.wikipathways.org/index.php/Pathway:WP195"	"IL-1 signaling pathway"	"Homo sapiens"	"115902"	"A.Pandey, MaintBot, Thripsi, Khanspers, MartijnVanIersel, NetPath, Christine Chichester, Joppe014, Zari, Mkutmon, L Dupuis, Egonw"	2021-03-20	""	"- id: PW:0000023|,|  value: immune response pathway|,|  type: Pathway Ontology|;|- id: PW:0000024|,|  value: inflammatory response pathway|,|  type: Pathway Ontology|;|- id: PW:0000820|,|  value: signaling pathway in the adaptive immune response|,|  type: Pathway Ontology|;|- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000883|,|  value: interleukin-1 signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0001059|,|  value: oxidative phosphorylation pathway|,|  type: Pathway Ontology"
"WP49"	"https://www.wikipathways.org/index.php/Pathway:WP49"	"IL-2 signaling pathway"	"Homo sapiens"	"116633"	"A.Pandey, MaintBot, Khanspers, Mkutmon, MartijnVanIersel, AlexanderPico, NetPath, Christine Chichester, Fehrhart, Egonw, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000907|,|  value: interleukin-2 signaling pathway|,|  type: Pathway Ontology"
"WP286"	"https://www.wikipathways.org/index.php/Pathway:WP286"	"IL-3 signaling pathway"	"Homo sapiens"	"116632"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, NetPath, Christine Chichester, Mkutmon, L Dupuis, Egonw, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000968|,|  value: interleukin-3 signaling pathway|,|  type: Pathway Ontology"
"WP395"	"https://www.wikipathways.org/index.php/Pathway:WP395"	"IL-4 signaling pathway"	"Homo sapiens"	"116636"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, AlexanderPico, NetPath, Christine Chichester, Joppe014, Egonw, Zari, Mkutmon, L Dupuis, Joops05, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000912|,|  value: interleukin-4 signaling pathway|,|  type: Pathway Ontology"
"WP127"	"https://www.wikipathways.org/index.php/Pathway:WP127"	"IL-5 signaling pathway"	"Homo sapiens"	"116634"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, AlexanderPico, NetPath, Andra, Christine Chichester, Noopur144, L Dupuis, Egonw, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000969|,|  value: interleukin-5 signaling pathway|,|  type: Pathway Ontology"
"WP364"	"https://www.wikipathways.org/index.php/Pathway:WP364"	"IL-6 signaling pathway"	"Homo sapiens"	"115943"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, NetPath, Christine Chichester, Mkutmon, Joppe014, Zari, Susan, L Dupuis, Egonw"	2021-03-21	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000516|,|  value: interleukin-6 signaling pathway|,|  type: Pathway Ontology"
"WP205"	"https://www.wikipathways.org/index.php/Pathway:WP205"	"IL-7 signaling pathway"	"Homo sapiens"	"116637"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, AlexanderPico, NetPath, Christine Chichester, Zari, Egonw, Mkutmon, L Dupuis, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000908|,|  value: interleukin-7 signaling pathway|,|  type: Pathway Ontology"
"WP22"	"https://www.wikipathways.org/index.php/Pathway:WP22"	"IL-9 signaling pathway"	"Homo sapiens"	"116635"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, AlexanderPico, NetPath, Christine Chichester, Mkutmon, Zari, AMTan, L Dupuis, Egonw, Eweitz"	2021-05-09	""	"- id: PW:0000512|,|  value: Interleukin mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000909|,|  value: interleukin-9 signaling pathway|,|  type: Pathway Ontology"
"WP53"	"https://www.wikipathways.org/index.php/Pathway:WP53"	"ID signaling pathway"	"Homo sapiens"	"115897"	"A.Pandey, MaintBot, Khanspers, Mkutmon, MartijnVanIersel, NetPath, Christine Chichester, L Dupuis, Egonw"	2021-03-19	""	"- id: PW:0000003|,|  value: signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0001372|,|  value: Inhibitor of DNA binding signaling pathway|,|  type: Pathway Ontology"
"WP453"	"https://www.wikipathways.org/index.php/Pathway:WP453"	"Inflammatory response pathway"	"Homo sapiens"	"116780"	"N.Fidelman, MaintBot, Khanspers, Zari, DeSl, Eweitz"	2021-05-14	""	"- id: CL:0000733|,|  value: lymph gland plasmatocyte|,|  type: Cell Type|;|- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: DOID:0000405|,|  value: disease of response to stimulus|,|  type: Disease|;|- id: PW:0000648|,|  value: cell adhesion signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000023|,|  value: immune response pathway|,|  type: Pathway Ontology|;|- id: PW:0000024|,|  value: inflammatory response pathway|,|  type: Pathway Ontology"
"WP481"	"https://www.wikipathways.org/index.php/Pathway:WP481"	"Insulin signaling"	"Homo sapiens"	"116787"	"M.Patti, MaintBot, Thomas, Andra, Khanspers, Mkutmon, MartijnVanIersel, Eduati, AlexanderPico, Ycc86829, Eweitz"	2021-05-14	""	"- id: PW:0000143|,|  value: insulin signaling pathway|,|  type: Pathway Ontology"
"WP185"	"https://www.wikipathways.org/index.php/Pathway:WP185"	"Integrin-mediated cell adhesion"	"Homo sapiens"	"116785"	"169.230.77.174, MaintBot, MartijnVanIersel, Thomas, Khanspers, AlexanderPico, Zari, Mkutmon, Eweitz"	2021-05-14	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: PW:0000286|,|  value: integrin mediated signaling pathway|,|  type: Pathway Ontology"
"WP304"	"https://www.wikipathways.org/index.php/Pathway:WP304"	"Kit receptor signaling pathway"	"Homo sapiens"	"115942"	"A.Pandey, MaintBot, Khanspers, MartijnVanIersel, NetPath, Ddigles, Mkutmon, Egonw, L Dupuis"	2021-03-21	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: DOID:0000405|,|  value: disease of response to stimulus|,|  type: Disease|;|- id: PW:0000828|,|  value: cytokine mediated signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0001227|,|  value: Stem Cell Factor signaling pathway|,|  type: Pathway Ontology"
"WP78"	"https://www.wikipathways.org/index.php/Pathway:WP78"	"TCA cycle (aka Krebs or citric acid cycle)"	"Homo sapiens"	"119082"	"Kdahlquist, MaintBot, MartijnVanIersel, AlexanderPico, Thomas, N.Fidelman, Khanspers, Ray Andrews II, HarmNijveen, Mdstobbe, Smhouten, Ddigles, Egonw, DeSl, Finterly, Eweitz"	2021-06-16	""	"- id: PW:0000026|,|  value: TCA cycle|,|  type: Pathway Ontology|;|- id: PW:0000026|,|  value: citrate cycle pathway|,|  type: Pathway Ontology|;|- id: PW:0000002|,|  value: classic metabolic pathway|,|  type: Pathway Ontology"
"WP382"	"https://www.wikipathways.org/index.php/Pathway:WP382"	"MAPK signaling pathway"	"Homo sapiens"	"119087"	"S.Burel, MaintBot, Khanspers, Bingo, MartijnVanIersel, AlexanderPico, Ddigles, Mkutmon, Zari, DeSl, Egonw, Eweitz"	2021-06-17	""	"- id: DOID:8406|,|  value: Signal Transduction Pathway Deregulation|,|  type: Disease|;|- id: DOID:0000405|,|  value: disease of response to stimulus|,|  type: Disease|;|- id: PW:0000007|,|  value: MAPK signaling pathway|,|  type: Pathway Ontology|;|- id: PW:0000007|,|  value: mitogen activated protein kinase signaling pathway|,|  type: Pathway Ontology"
"WP129"	"https://www.wikipathways.org/index.php/Pathway:WP129"	"Matrix metalloproteinases"	"Homo sapiens"	"117774"	"Kdahlquist, MaintBot, MartijnVanIersel, Khanspers, Thomas, Ddigles, Mkutmon, Eweitz"	2021-05-22	""	"- id: PW:0000325|,|  value: protein degradation pathway|,|  type: Pathway Ontology|;|- id: PW:0000646|,|  value: cell-extracellular matrix signaling pathway|,|  type: Pathway Ontology"
"WP368"	"https://www.wikipathways.org/index.php/Pathway:WP368"	"Mitochondrial long chain fatty acid beta-oxidation"	"Homo sapiens"	"117795"	"N.Reyes, MaintBot, Thomas, Khanspers, Jildau, MartijnVanIersel, AlexanderPico, Egonw, Ddigles, Zari, MirellaKalafati, Mkutmon, IreneHemel, Eweitz"	2021-05-22	""	"- id: PW:0000738|,|  value: fatty acid beta oxidation pathway|,|  type: Pathway Ontology|;|- id: PW:0000738|,|  value: fatty acid beta degradation pathway|,|  type: Pathway Ontology|;|- id: PW:0000002|,|  value: classic metabolic pathway|,|  type: Pathway Ontology"
