Label	Type	ID	Database	
RFA2	GeneProduct	855404	Entrez Gene
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDT1	GeneProduct		
MCM3	GeneProduct	856680	Entrez Gene
MCM2	GeneProduct	852258	Entrez Gene
CDC54	GeneProduct	856130	Entrez Gene
CDC46	GeneProduct	850980	Entrez Gene
MCM6	GeneProduct	852673	Entrez Gene
CDC47	GeneProduct	852501	Entrez Gene
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDT1	GeneProduct		
MCM3	GeneProduct	856680	Entrez Gene
MCM2	GeneProduct	852258	Entrez Gene
CDC54	GeneProduct	856130	Entrez Gene
CDC46	GeneProduct	850980	Entrez Gene
MCM6	GeneProduct	852673	Entrez Gene
CDC47	GeneProduct	852501	Entrez Gene
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDT1	GeneProduct		
MCM10	GeneProduct	854656	Entrez Gene
GMNN	GeneProduct		
MCM10	GeneProduct	854656	Entrez Gene
MCM3	GeneProduct	856680	Entrez Gene
MCM2	GeneProduct	852258	Entrez Gene
CDC54	GeneProduct	856130	Entrez Gene
CDC46	GeneProduct	850980	Entrez Gene
MCM6	GeneProduct	852673	Entrez Gene
CDC47	GeneProduct	852501	Entrez Gene
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDT1	GeneProduct		
CDT1	GeneProduct		
MCM10	GeneProduct	854656	Entrez Gene
MCM3	GeneProduct	856680	Entrez Gene
MCM2	GeneProduct	852258	Entrez Gene
CDC54	GeneProduct	856130	Entrez Gene
CDC46	GeneProduct	850980	Entrez Gene
MCM6	GeneProduct	852673	Entrez Gene
CDC47	GeneProduct	852501	Entrez Gene
ORC2	GeneProduct	852352	Entrez Gene
ORC3L	GeneProduct		
ORC5L	GeneProduct		
ORC4L	GeneProduct		
ORC1L	GeneProduct		
ORC6L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDT1	GeneProduct		
ORC1L	GeneProduct		
ORC1L	GeneProduct		
CDC6	GeneProduct	853244	Entrez Gene
CDC6	GeneProduct	853244	Entrez Gene
