Label	Type	ID	Database	
SLC47A2	GeneProduct	ENSG00000180638	Ensembl
ATP6V1F	GeneProduct	ENSG00000128524	Ensembl
Cationic amino acids	Metabolite	CHEBI:58942	ChEBI
Amino acids	Metabolite	33709	ChEBI
ATP6V1B1	GeneProduct	ENSG00000116039	Ensembl
SLC4A2	GeneProduct	ENSG00000164889	Ensembl
SLC36A2	GeneProduct	ENSG00000186335	Ensembl
ABCC2	GeneProduct	ENSG00000023839	Ensembl
ATP6V1C1	GeneProduct	ENSG00000155097	Ensembl
SLC6A18	GeneProduct	ENSG00000164363	Ensembl
SLC2A2	GeneProduct	ENSG00000163581	Ensembl
ATP6V1E1	GeneProduct	ENSG00000131100	Ensembl
SLC26A6	GeneProduct	ENSG00000225697	Ensembl
sulfate	Metabolite	16189	ChEBI
SLC20A2	GeneProduct	ENSG00000168575	Ensembl
ATP6V0C	GeneProduct	ENSG00000185883	Ensembl
SLC3A1	GeneProduct	ENSG00000138079	Ensembl
hydrogencarbonate	Metabolite	17544	ChEBI
AQP1	GeneProduct	ENSG00000240583	Ensembl
a-ketoglutarate	Metabolite	16810	ChEBI
K+	Metabolite	29103	ChEBI
Na+	Metabolite	29101	ChEBI
K+	Metabolite	29103	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
Cl-	Metabolite	17996	ChEBI
hydrogencarbonate	Metabolite	17544	ChEBI
Cl-	Metabolite	17996	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H2CO3	Metabolite	28976	ChEBI
H2O	Metabolite	15377	ChEBI
CO2	Metabolite	16526	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
CA2	GeneProduct	ENSG00000104267	Ensembl
H2O	Metabolite	15377	ChEBI
CO2	Metabolite	16526	ChEBI
HCO3-	Metabolite	17544	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
HCO3-	Metabolite	17544	ChEBI
AQP1	GeneProduct	ENSG00000240583	Ensembl
H2O	Metabolite	15377	ChEBI
CO2	Metabolite	16526	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Glucose	Metabolite	17234	ChEBI
Glucose	Metabolite	17234	ChEBI
Glucose	Metabolite	17234	ChEBI
I-	Metabolite	16382	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Lactate	Metabolite	24996	ChEBI
SLC3A2	GeneProduct	ENSG00000168003	Ensembl
TMEM27	GeneProduct	ENSG00000147003	Ensembl
TMEM27	GeneProduct	ENSG00000147003	Ensembl
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
K+	Metabolite	29103	ChEBI
Pro	Metabolite	26271	ChEBI
Cationic amino acids	Metabolite	CHEBI:58942	ChEBI
Na+	Metabolite	29101	ChEBI
Anionic amino acids	Metabolite	CHEBI:64898	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
Na+	Metabolite	29101	ChEBI
K+	Metabolite	29103	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
Na+	Metabolite	29101	ChEBI
Pro	Metabolite	26271	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Cys	Metabolite	17376	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
H2PO4-	Metabolite	39745	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
HPO4 2-	Metabolite	43474	ChEBI
HPO4 2-	Metabolite	43474	ChEBI
H2PO4 -	Metabolite	39745	ChEBI
Cl-	Metabolite	17996	ChEBI
Cl-	Metabolite	17996	ChEBI
OH-	Metabolite	16234	ChEBI
hydrogencarbonate	Metabolite	17544	ChEBI
formate	Metabolite	15740	ChEBI
oxalate(2-)	Metabolite	30623	ChEBI
Amino acids	Metabolite	33709	ChEBI
Cationic amino acids	Metabolite	CHEBI:58942	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Pro	Metabolite	26271	ChEBI
Gly	Metabolite	15428	ChEBI
Ala	Metabolite	16449	ChEBI
Anionic amino acids	Metabolite	CHEBI:64898	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Amino acids	Metabolite	33709	ChEBI
Cationic amino acids	Metabolite	CHEBI:58942	ChEBI
sulfate	Metabolite	16189	ChEBI
SLC5A1	GeneProduct	ENSG00000100170	Ensembl
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
Glucose	Metabolite	17234	ChEBI
Glucose	Metabolite	17234	ChEBI
Glucose	Metabolite	17234	ChEBI
Cl-	Metabolite	17996	ChEBI
Cl-	Metabolite	17996	ChEBI
K+	Metabolite	29103	ChEBI
K+	Metabolite	29103	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
Na+	Metabolite	29101	ChEBI
Na+	Metabolite	29101	ChEBI
SLC22A7	GeneProduct	ENSG00000137204	Ensembl
SLC22A6	GeneProduct	ENSG00000197901	Ensembl
SLC22A8	GeneProduct	ENSG00000149452	Ensembl
SLC13A3	GeneProduct	ENSG00000158296	Ensembl
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
organic anion	Metabolite	25696	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
a-ketoglutarate	Metabolite	16810	ChEBI
urate	Metabolite	46818	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
organic cation	Metabolite	CHEBI:25697	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
H+	Metabolite	CHEBI:15378	ChEBI
