Label	Type	ID	Database	
SEMA4D dimer	Complex	REACT_19817	Reactome
RND1	Protein	ENSBTAG00000018773	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
Sema4D:pPlexin-B1:Met:Rnd1	Complex	REACT_19721	Reactome
RND1	Protein	ENSBTAG00000018773	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
C-MET	Protein	ENSBTAG00000006161	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
RAC1-GTP	Complex	REACT_21594	Reactome
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
R-Ras-GTP	Complex	REACT_20411	Reactome
GTP [plasma
membrane]	Metabolite	CHEBI:15996	ChEBI
RRAS	Protein	ENSBTAG00000020983	Ensembl
R-Ras-GDP	Complex	REACT_20329	Reactome
GDP [plasma
membrane]	Metabolite	CHEBI:17552	ChEBI
RRAS	Protein	ENSBTAG00000020983	Ensembl
Pi	Metabolite	CHEBI:18367	ChEBI
ARHGAP35	Protein	ENSBTAG00000015543	Ensembl
Sema4D:Plexin-B1:p190RhoGAP:Rac:Rnd1	Complex	REACT_19579	Reactome
RND1	Protein	ENSBTAG00000018773	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
C-MET	Protein	ENSBTAG00000006161	Ensembl
PLXNB1	Protein	ENSBTAG00000013407	Ensembl
ARHGAP35	Protein	ENSBTAG00000015543	Ensembl
RhoA (Mg
cofactor):GTP	Complex	REACT_14306	Reactome
RHOA	Protein	ENSBTAG00000004279	Ensembl
Mg2+ [plasma
membrane]	Metabolite	CHEBI:18420	ChEBI
GTP [plasma
membrane]	Metabolite	CHEBI:15996	ChEBI
RhoA (Mg
cofactor):GDP	Complex	REACT_13852	Reactome
RHOA	Protein	ENSBTAG00000004279	Ensembl
Mg2+ [plasma
membrane]	Metabolite	CHEBI:18420	ChEBI
GDP [plasma
membrane]	Metabolite	CHEBI:17552	ChEBI
Pi	Metabolite	CHEBI:18367	ChEBI
FARP2	Protein		
Plexin-A1-4:FYN	Complex	REACT_19507	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1:PlexinA1-4:FARP2:FYN	Complex	REACT_20390	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
FARP2 [cytosol]	Protein		
NRP1	Protein	ENSBTAG00000019866	Ensembl
Sema3A dimer	Complex	REACT_19939	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
Sema3A:Nrp-1:Plexin
A:Fyn	Complex	REACT_19816	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
FES	Protein	ENSBTAG00000002941	Ensembl
Sema3A:NRP-1:pPlexin-A:Fyn:Fes	Complex	REACT_19958	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
RAC1-GDP	Complex	REACT_22018	Reactome
RAC1	Protein	ENSBTAG00000009233	Ensembl
GDP [cytosol]	Metabolite	CHEBI:17552	ChEBI
GDP	Metabolite	CHEBI:17552	ChEBI
GTP	Metabolite	CHEBI:15996	ChEBI
RAC1-GTP	Complex	REACT_21594	Reactome
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP	Complex	REACT_20187	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
Sema3A:Nrp-1:pPlexinA:Fyn:Fes:Rac-1-GTP:Rnd1	Complex	REACT_19802	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
RND1	Protein	ENSBTAG00000018773	Ensembl
Rnd1-GTP	Complex	REACT_20300	Reactome
RND1	Protein	ENSBTAG00000018773	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
Pi	Metabolite	CHEBI:18367	ChEBI
R-Ras-GTP	Complex	REACT_20411	Reactome
GTP [plasma
membrane]	Metabolite	CHEBI:15996	ChEBI
RRAS	Protein	ENSBTAG00000020983	Ensembl
R-Ras-GDP	Complex	REACT_20329	Reactome
GDP [plasma
membrane]	Metabolite	CHEBI:17552	ChEBI
RRAS	Protein	ENSBTAG00000020983	Ensembl
PIP5K1gamma:Talin-1	Complex	REACT_19891	Reactome
PIP5K1C	Protein	ENSBTAG00000000710	Ensembl
TLN1	Protein	ENSBTAG00000025868	Ensembl
FARP2:PIP5KIgamma	Complex	REACT_19748	Reactome
FARP2 [cytosol]	Protein		
PIP5K1C	Protein	ENSBTAG00000000710	Ensembl
TLN1	Protein	ENSBTAG00000025868	Ensembl
PAK homodimer	Complex	REACT_19479	Reactome
PAK1	Protein	ENSBTAG00000010191	Ensembl
PAK2	Protein	ENSBTAG00000047856	Ensembl
Sema3A:Nrp-1:PlexinA:Rac1-GTP:PAK	Complex	REACT_20083	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
PAK1	Protein	ENSBTAG00000010191	Ensembl
PAK2	Protein	ENSBTAG00000047856	Ensembl
PAK	Protein		
ATP	Metabolite	CHEBI:15422	ChEBI
Sema3A:Nrp-1:PlexinA:Rac1-GTP:pPAK	Complex	REACT_19495	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
RAC1	Protein	ENSBTAG00000009233	Ensembl
GTP [cytosol]	Metabolite	CHEBI:15996	ChEBI
PAK1	Protein	ENSBTAG00000010191	Ensembl
PAK2	Protein	ENSBTAG00000047856	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
LIMK1	Protein	ENSBTAG00000044083	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
LIMK1	Protein	ENSBTAG00000044083	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
HSP-90	Protein		
pLIMK dimer:HSP-90	Complex	REACT_19543	Reactome
HSP90AA1	Protein	ENSBTAG00000006270	Ensembl
HSP90AB1	Protein	ENSBTAG00000047699	Ensembl
LIMK1	Protein	ENSBTAG00000044083	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
Active LIMK1	Complex	REACT_19790	Reactome
LIMK1	Protein	ENSBTAG00000044083	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
CFL1	Protein	ENSBTAG00000021455	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
pCofilin: Active
LIMK-1	Complex	REACT_20103	Reactome
CFL1	Protein	ENSBTAG00000021455	Ensembl
LIMK1	Protein	ENSBTAG00000044083	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
NRP1:PlexinA1-4:FYN	Complex	REACT_20319	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
Sema3A:Nrp-1:PlexinA:Fyn	Complex	REACT_20413	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
Cdk5:p35	Complex	REACT_19863	Reactome
CDK5	Protein	ENSBTAG00000007766	Ensembl
CDK5R1	Protein	ENSBTAG00000004475	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
Sema3A:Nrp-1:PlexinA:Fyn:pCdk5	Complex	REACT_20429	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
CDK5	Protein	ENSBTAG00000007766	Ensembl
CDK5R1	Protein	ENSBTAG00000004475	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
ADP	Metabolite	CHEBI:16761	ChEBI
CRMP's tetramers	Complex	REACT_19835	Reactome
CRMP1	Protein	ENSBTAG00000004292	Ensembl
DPYSL2	Protein	ENSBTAG00000018373	Ensembl
DPYSL3	Protein	ENSBTAG00000010661	Ensembl
DPYSL4	Protein	ENSBTAG00000017780	Ensembl
DPYSL5	Protein	ENSBTAG00000018576	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
ADP	Metabolite	CHEBI:16761	ChEBI
Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	Complex	REACT_19706	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
CDK5	Protein	ENSBTAG00000007766	Ensembl
CDK5R1	Protein	ENSBTAG00000004475	Ensembl
CRMP1	Protein	ENSBTAG00000004292	Ensembl
DPYSL2	Protein	ENSBTAG00000018373	Ensembl
DPYSL4	Protein	ENSBTAG00000017780	Ensembl
DPYSL3	Protein	ENSBTAG00000010661	Ensembl
DPYSL5	Protein	ENSBTAG00000018576	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
ADP	Metabolite	CHEBI:16761	ChEBI
Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	Complex	REACT_20425	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
CDK5	Protein	ENSBTAG00000007766	Ensembl
CDK5R1	Protein	ENSBTAG00000004475	Ensembl
CRMP1	Protein	ENSBTAG00000004292	Ensembl
DPYSL2	Protein	ENSBTAG00000018373	Ensembl
DPYSL4	Protein	ENSBTAG00000017780	Ensembl
DPYSL3	Protein	ENSBTAG00000010661	Ensembl
DPYSL5	Protein	ENSBTAG00000018576	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
ATP	Metabolite	CHEBI:15422	ChEBI
ADP	Metabolite	CHEBI:16761	ChEBI
Sema3A:NP-1:Plexin-A:Fes:CRMP	Complex	REACT_20015	Reactome
FES	Protein	ENSBTAG00000002941	Ensembl
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLXNA3	Protein	ENSBTAG00000008552	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
FYN	Protein	ENSBTAG00000011851	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
CRMP1	Protein	ENSBTAG00000004292	Ensembl
DPYSL2	Protein	ENSBTAG00000018373	Ensembl
DPYSL4	Protein	ENSBTAG00000017780	Ensembl
DPYSL3	Protein	ENSBTAG00000010661	Ensembl
DPYSL5	Protein	ENSBTAG00000018576	Ensembl
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
CD72	Protein	ENSBTAG00000011409	Ensembl
SEMA4D:CD72	Complex	REACT_20194	Reactome
CD72	Protein	ENSBTAG00000011409	Ensembl
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
PTPRC	Protein	ENSBTAG00000023144	Ensembl
SEMA4D:PTPRC	Complex	REACT_19862	Reactome
PTPRC	Protein	ENSBTAG00000023144	Ensembl
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
PLXND1	Protein	ENSBTAG00000001814	Ensembl
SEMA3E	Protein	ENSBTAG00000014920	Ensembl
SEMA3A:PLXND1	Complex	REACT_20367	Reactome
PLXND1	Protein	ENSBTAG00000001814	Ensembl
SEMA3E	Protein	ENSBTAG00000014920	Ensembl
SEMA4A	Protein	ENSBTAG00000012228	Ensembl
SEMA4A:PLXND1	Complex	REACT_19803	Reactome
SEMA4A	Protein	ENSBTAG00000012228	Ensembl
PLXND1	Protein	ENSBTAG00000001814	Ensembl
PLXND1	Protein	ENSBTAG00000001814	Ensembl
PLXNB3	Protein	ENSBTAG00000010146	Ensembl
SEMA5A	Protein	ENSBTAG00000005021	Ensembl
SEMA5A:PLXNB3	Complex	REACT_19434	Reactome
SEMA5A	Protein	ENSBTAG00000005021	Ensembl
PLXNB3	Protein	ENSBTAG00000010146	Ensembl
SEMA6A	Protein	ENSBTAG00000020489	Ensembl
PLXNA2,PLXNA4	Protein		
SEMA6A:PLXNA2,PLXNA4	Complex	REACT_19923	Reactome
PLXNA2	Protein	ENSBTAG00000001173	Ensembl
PLEX2	Protein	ENSBTAG00000014543	Ensembl
SEMA6A	Protein	ENSBTAG00000020489	Ensembl
PLXNA1:TREM2:DAP12	Complex	REACT_20126	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
TREM2	Protein	ENSBTAG00000007275	Ensembl
TYROBP	Protein	ENSBTAG00000007338	Ensembl
SEMA6D	Protein	ENSBTAG00000016800	Ensembl
SEMA6D:PLXNA1:TREM2:DAP12	Complex	REACT_19554	Reactome
PLXNA1	Protein	ENSBTAG00000009159	Ensembl
TREM2	Protein	ENSBTAG00000007275	Ensembl
TYROBP	Protein	ENSBTAG00000007338	Ensembl
SEMA6D	Protein	ENSBTAG00000016800	Ensembl
SEMA7A	Protein	ENSBTAG00000011446	Ensembl
PLXNC1	Protein	ENSBTAG00000011245	Ensembl
SEMA7A:PLXNC1	Complex	REACT_20419	Reactome
PLXNC1	Protein	ENSBTAG00000011245	Ensembl
SEMA7A	Protein	ENSBTAG00000011446	Ensembl
Integrin alpha1beta1	Complex	REACT_14015	Reactome
ITGB1	Protein	ENSBTAG00000015910	Ensembl
ITGA1	Protein	ENSBTAG00000016525	Ensembl
SEMA7A:Integrin
alpha1beta1	Complex	REACT_20443	Reactome
ITGB1	Protein	ENSBTAG00000015910	Ensembl
ITGA1	Protein	ENSBTAG00000016525	Ensembl
SEMA7A	Protein	ENSBTAG00000011446	Ensembl
NRP1	Protein	ENSBTAG00000019866	Ensembl
GSK3B	Protein	ENSBTAG00000048057	Ensembl
Sema3A dimer	Complex	REACT_19939	Reactome
SEMA3A	Protein	ENSBTAG00000018133	Ensembl
SEMA4D dimer	Complex	REACT_19817	Reactome
SEMA4D	Protein	ENSBTAG00000001941	Ensembl
